Файл: 1-4_kursy_s_21_09-26_09_2026.pdf
Всего слов: 373
Размер страницы: 595.5 x 841.9

     x0      x1     top     bot | text
  431.7   470.3   273.8   281.8 | Семакина
  473.3   490.3   273.8   281.8 | Н.А.
  164.9   193.9   282.7   290.7 | Физика
  437.1   485.2   282.7   290.7 | Математика
   43.5    75.5   288.4   293.4 | 17:30-19:00
   83.5    87.5   286.8   294.8 | 6
  275.5   283.8   287.0   295.0 | 90
  325.4   357.2   288.4   293.4 | 17:30-19:00
  365.3   369.3   286.8   294.8 | 6
  557.3   565.6   287.0   295.0 | 84
  149.1   189.3   291.6   299.6 | Дектерева
  192.3   209.1   291.6   299.6 | О.А.
  431.5   470.3   291.6   299.6 | Макарова
  473.1   490.1   291.6   299.6 | Н.П.
   43.5    75.5   306.2   311.2 | 19:10-20:40
   83.5    87.5   304.5   312.5 | 7
  325.4   357.2   306.2   311.2 | 19:10-20:40
  365.3   369.3   304.5   312.5 | 7
  156.7   201.7   318.2   326.2 | Литература
   83.8    87.8   322.3   330.3 | 1
  365.5   369.5   322.3   330.3 | 1
   45.1    73.8   323.9   328.9 | 8:30-10:00
  275.5   283.8   322.5   330.5 | 89
  326.9   355.5   323.9   328.9 | 8:30-10:00
  139.9   199.3   327.1   335.1 | Перевозчикова
  202.1   218.1   327.1   335.1 | Е.Н.
  161.1   197.4   336.0   344.0 | Биология
   83.5    87.5   340.0   348.0 | 2
  275.5   283.8   340.3   348.3 | 89
  365.3   369.3   340.0   348.0 | 2
   43.5    75.5   341.7   346.7 | 10:30-12:00
  325.4   357.2   341.7   346.7 | 10:30-12:00
  150.5   187.8   344.8   352.8 | Худякова
  190.5   207.6   344.8   352.8 | Н.А.
   23.2    32.2   353.4   375.8 | 90.32
  164.9   193.9   353.7   361.7 | Физика
  304.9   313.9   353.4   375.8 | 90.32
  444.7   477.5   353.7   361.7 | История
   83.5    87.5   357.8   365.8 | 3
  275.5   283.8   358.0   366.0 | 90
  365.3   369.3   357.8   365.8 | 3
  557.3   565.6   358.0   366.0 | 84
   43.5    75.5   359.4   364.4 | 12:10-13:40
  325.4   357.2   359.4   364.4 | 12:10-13:40
  149.1   189.3   362.6   370.6 | Дектерева
  192.3   209.1   362.6   370.6 | О.А.
  435.3   468.2   362.6   370.6 | Окулова
  470.9   486.5   362.6   370.6 | Е.С.
  152.7   184.8   371.5   379.5 | Русский
  187.7   205.7   371.5   379.5 | язык
  446.6   475.8   371.5   379.5 | Физика
   83.3    87.3   375.6   383.6 | 4
  275.5   283.8   375.8   383.8 | 89
  365.1   369.1   375.6   383.6 | 4
  557.3   565.6   375.8   383.8 | 90
   23.2    32.2   379.0   405.1 | адерС
   43.5    75.5   377.2   382.2 | 13:50-15:20
  304.9   313.9   379.0   405.1 | адерС
  325.4   357.2   377.2   382.2 | 13:50-15:20
  150.2   187.8   380.4   388.4 | Ватолина
  190.8   207.7   380.4   388.4 | О.А.
  430.8   471.0   380.4   388.4 | Дектерева
  474.3   491.1   380.4   388.4 | О.А.
  444.7   477.5   389.2   397.2 | История
   83.5    87.5   393.3   401.3 | 5
  365.3   369.3   393.3   401.3 | 5
  557.3   565.6   393.6   401.6 | 89
   43.5    75.5   395.0   400.0 | 15:50-17:20
  325.4   357.2   395.0   400.0 | 15:50-17:20
  435.3   468.2   398.1   406.1 | Окулова
  470.9   486.5   398.1   406.1 | Е.С.
  427.9   494.3   407.0   415.0 | Обществознание
   83.5    87.5   411.1   419.1 | 6
  365.3   369.3   411.1   419.1 | 6
  557.3   565.6   411.3   419.3 | 89
   43.5    75.5   412.7   417.7 | 17:30-19:00
  325.4   357.2   412.7   417.7 | 17:30-19:00
  431.7   470.3   415.9   423.9 | Семакина
  473.3   490.3   415.9   423.9 | Н.А.
   43.5    75.5   430.5   435.5 | 19:10-20:40
   83.5    87.5   428.8   436.8 | 7
  325.4   357.2   430.5   435.5 | 19:10-20:40
  365.3   369.3   428.8   436.8 | 7
   45.1    73.8   448.2   453.2 | 8:30-10:00
   83.8    87.8   446.6   454.6 | 1
  326.9   355.5   448.2   453.2 | 8:30-10:00
  365.5   369.5   446.6   454.6 | 1
   43.5    75.5   466.0   471.0 | 10:30-12:00
   83.5    87.5   464.4   472.4 | 2
  325.4   357.2   466.0   471.0 | 10:30-12:00
  365.3   369.3   464.4   472.4 | 2
   22.9    31.9   473.6   496.1 | 90.42
  304.7   313.7   473.6   496.1 | 90.42
  437.1   485.2   478.0   486.0 | Математика
   43.5    75.5   483.8   488.8 | 12:10-13:40
   83.5    87.5   482.1   490.1 | 3
  325.4   357.2   483.8   488.8 | 12:10-13:40
  365.3   369.3   482.1   490.1 | 3
  557.3   565.6   482.4   490.4 | 84
  431.5   470.3   486.9   494.9 | Макарова
  473.1   490.1   486.9   494.9 | Н.П.
  137.1   148.2   495.8   503.8 | ОБ
  151.5   155.7   495.8   503.8 | и
  158.7   188.4   495.8   503.8 | защиты
  191.5   221.6   495.8   503.8 | Родины
  438.5   483.7   495.8   503.8 | Литература
   22.9    31.9   499.3   534.0 | гревтеЧ
  304.7   313.7   499.3   534.0 | гревтеЧ
   43.5    75.5   501.5   506.5 | 13:50-15:20
   83.3    87.3   499.9   507.9 | 4
  277.7   281.7   500.1   508.1 | 2
  325.4   357.2   501.5   506.5 | 13:50-15:20
  365.1   369.1   499.9   507.9 | 4
  557.3   565.3   500.1   508.1 | 83
  145.2   194.1   504.7   512.7 | Деветьярова
  197.0   213.1   504.7   512.7 | Е.А.
  421.7   481.1   504.7   512.7 | Перевозчикова
  484.1   500.2   504.7   512.7 | Е.Н.
  155.3   203.2   513.6   521.6 | Математика
  446.6   475.8   513.6   521.6 | Физика
   43.5    75.5   519.3   524.3 | 15:50-17:20
   83.5    87.5   517.6   525.6 | 5
  275.5   283.8   517.9   525.9 | 84
  325.4   357.2   519.3   524.3 | 15:50-17:20
  365.3   369.3   517.6   525.6 | 5
  557.3   565.6   517.9   525.9 | 90
  149.8   188.3   522.4   530.4 | Макарова
  191.3   208.3   522.4   530.4 | Н.П.
  430.8   471.0   522.4   530.4 | Дектерева
  474.3   491.1   522.4   530.4 | О.А.
  162.9   195.5   531.3   539.3 | История
  440.1   481.8   531.3   539.3 | География
   83.5    87.5   535.4   543.4 | 6
  365.3   369.3   535.4   543.4 | 6
   43.5    75.5   537.0   542.0 | 17:30-19:00
  275.5   283.6   535.6   543.6 | 83
  325.4   357.2   537.0   542.0 | 17:30-19:00
  557.3   565.6   535.6   543.6 | 59
  153.6   186.2   540.2   548.2 | Окулова
  189.1   204.7   540.2   548.2 | Е.С.
  433.4   468.8   540.2   548.2 | Марьина
  471.6   488.1   540.2   548.2 | Н.В.
   83.5    87.5   553.2   561.2 | 7
  365.3   369.3   553.2   561.2 | 7
   43.5    75.5   554.8   559.8 | 19:10-20:40
  325.4   357.2   554.8   559.8 | 19:10-20:40
  152.2   206.3   566.8   574.8 | Информатика
  418.8   429.9   566.8   574.8 | ОБ
  433.2   437.5   566.8   574.8 | и
  440.4   470.1   566.8   574.8 | защиты
  473.3   503.3   566.8   574.8 | Родины
   83.8    87.8   570.9   578.9 | 1
  276.0   283.8   571.2   579.2 | 13
  365.5   369.5   570.9   578.9 | 1
  559.5   563.5   571.2   579.2 | 2
